F,ok,incs,wall_s,tip_uy,tip_uz,tip_delta,tip_y,tip_z,theta_deg,root_fz,tip_rf_fz,err
0.5,True,24.0,0.43,-0.004167985,0.8335382,0.8335486206324141,99.995832015,0.8335382,0.6984155526998033,-0.5,0.5,
1.0,True,24.0,0.41,-0.01666584,1.666712,1.6667953207178454,99.98333416,1.666712,1.3965350091510618,-1.0,1.0,
2.0,True,24.0,0.4,-0.06656592,3.33051,3.3311751502743663,99.93343408,3.33051,2.79069312615971,-2.0,2.0,
5.0,True,24.0,0.41,-0.4118176,8.275726,8.285966121264662,99.5881824,8.275726,6.933639601827489,-5.0,5.0,
10.0,False,,,,,,,,,,,CcxFailed
20.0,False,,,,,,,,,,,CcxFailed
40.0,False,,,,,,,,,,,CcxFailed
80.0,False,,,,,,,,,,,CcxFailed
120.0,False,,,,,,,,,,,CcxFailed
200.0,False,,,,,,,,,,,CcxFailed
400.0,False,,,,,,,,,,,CcxFailed
800.0,False,,,,,,,,,,,CcxFailed
