theta_deg,fy,fz,f_mag
5,-8.253586,-0.2855939,8.25852563930834
10,-8.667379,-0.6201788,8.68953856505686
15,-8.732021,-0.9446733,8.782972070328693
20,-8.736187,-1.26656,8.827521596267493
25,-8.716166,-1.587209,8.85950236464989
30,-8.681314,-1.907028,8.888305156742764
35,-8.635099,-2.226197,8.917448504062696
40,-8.579081,-2.544818,8.948560189085448
45,-8.51404,-2.86296,8.982506169393929
50,-8.440378,-3.18067,9.019791706673942
55,-8.358301,-3.497977,9.060741619709173
60,-8.267899,-3.8149,9.105581578581404
65,-8.169194,-4.131451,9.154486221248956
70,-8.06216,-4.447632,9.20759763852787
75,-7.946741,-4.763439,9.265044178405303
80,-7.822857,-5.078866,9.3269486697636
85,-7.690405,-5.393899,9.393427249211333
90,-7.549272,-5.708521,9.464603517180475
95,-7.399326,-6.02271,9.540600662347
100,-7.240423,-6.33644,9.6215485807914
105,-7.072406,-6.649681,9.707583841028466
110,-6.895107,-6.962399,9.798851992792319
115,-6.708345,-7.274554,9.895505471573497
120,-6.511926,-7.586103,9.997706684839528
125,-6.305643,-7.896996,10.105626129412515
130,-6.089278,-8.207178,10.219446036110178
135,-5.862599,-8.516588,10.339358693678491
140,-5.625361,-8.825157,10.465566513809465
145,-5.377305,-9.132812,10.598285903407636
150,-5.11816,-9.439467,10.737741803083598
155,-4.847639,-9.745031,10.88417351319254
160,-4.565443,-10.0494,11.03783086236825
165,-4.271257,-10.35247,11.19898528711191
170,-3.964755,-10.6541,11.367899059194052
175,-3.645595,-10.95418,11.544887282967512
180,-3.313424,-11.25253,11.730226340726594
