theta_deg,U_total,M_Nmm,F_N,fy,fz,f_mag_RF
5,0.4185469,9.592388359313647,0.09592388359313647,-8.253586,-0.2855939,8.25852563930834
10,1.694342,19.415729130350986,0.19415729130350987,-8.667379,-0.6201788,8.68953856505686
15,3.821512,29.194201194479767,0.2919420119447977,-8.732021,-0.9446733,8.782972070328693
20,6.799855,38.96029928009304,0.3896029928009304,-8.736187,-1.26656,8.827521596267493
25,10.629,48.71974723556416,0.4871974723556416,-8.716166,-1.587209,8.85950236464989
30,15.30832,58.473475162380566,0.5847347516238056,-8.681314,-1.907028,8.888305156742764
35,20.83695,68.22110245286405,0.6822110245286405,-8.635099,-2.226197,8.917448504062696
40,27.21388,77.96202340877404,0.7796202340877404,-8.579081,-2.544818,8.948560189085448
45,34.43788,87.69534130568833,0.8769534130568833,-8.51404,-2.86296,8.982506169393929
50,42.5076,97.42024308921192,0.9742024308921192,-8.440378,-3.18067,9.019791706673942
55,51.42148,107.13577382968627,1.0713577382968626,-8.358301,-3.497977,9.060741619709173
60,61.17779,116.8409722312551,1.168409722312551,-8.267899,-3.8149,9.105581578581404
65,71.77461,126.53483782146071,1.265348378214607,-8.169194,-4.131451,9.154486221248956
70,83.20981,136.21631220244208,1.3621631220244208,-8.06216,-4.447632,9.20759763852787
75,95.48104,145.8842830805278,1.458842830805278,-7.946741,-4.763439,9.265044178405303
80,108.5858,155.53770137629138,1.5553770137629137,-7.822857,-5.078866,9.3269486697636
85,122.5212,165.1752390794885,1.651752390794885,-7.690405,-5.393899,9.393427249211333
90,137.2843,174.7957996312855,1.7479579963128549,-7.549272,-5.708521,9.464603517180475
95,152.8717,184.39796246294878,1.8439796246294877,-7.399326,-6.02271,9.540600662347
100,169.28,193.98059111949152,1.9398059111949153,-7.240423,-6.33644,9.6215485807914
105,186.5053,203.5422199394528,2.035422199394528,-7.072406,-6.649681,9.707583841028466
110,204.5434,213.08133722284003,2.1308133722284004,-6.895107,-6.962399,9.798851992792319
115,223.3898,222.59639523950537,2.2259639523950536,-6.708345,-7.274554,9.895505471573497
120,243.0398,232.0859132283938,2.320859132283938,-6.511926,-7.586103,9.997706684839528
125,263.4881,241.54809731073573,2.4154809731073574,-6.305643,-7.896996,10.105626129412515
130,284.7292,250.9812532944049,2.509812532944049,-6.089278,-8.207178,10.219446036110178
135,306.7571,260.3835135655192,2.603835135655192,-5.862599,-8.516588,10.339358693678491
140,329.5653,269.7528680566119,2.6975286805661187,-5.625361,-8.825157,10.465566513809465
145,353.1469,279.0872678362556,2.7908726783625557,-5.377305,-9.132812,10.598285903407636
150,377.4945,288.3845551920167,2.883845551920167,-5.11816,-9.439467,10.737741803083598
155,402.6,297.6423333157025,2.976423333157025,-4.847639,-9.745031,10.88417351319254
160,428.4549,306.8582185212467,3.0685821852124673,-4.565443,-10.0494,11.03783086236825
165,455.05,316.02962990821953,3.1602962990821952,-4.271257,-10.35247,11.19898528711191
170,482.3752,325.15368355034104,3.25153683550341,-3.964755,-10.6541,11.367899059194052
175,510.42,334.2275631893426,3.3422756318934264,-3.645595,-10.95418,11.544887282967512
180,539.1728,343.2480652027915,3.432480652027915,-3.313424,-11.25253,11.730226340726594
